name,company,street,postcode,city,country,capacity,energy_source,technology,chp,commissioned,type,lat,lon,eic_code,energy_source_level_1,energy_source_level_2,energy_source_level_3,additional_info,comment,source
AL-1,NUON,"Marketkant 12-10",1341AK,Almere,NL,62,"Natural gas",,,,,52.38811,5.2154,,"Fossil fuels","Natural gas",,,,Tennet_Q2
AL-2,NUON,"Markerkant 12-10",1341AK,Almere,NL,55,"Natural gas",,,,,52.38811,5.2154,,"Fossil fuels","Natural gas",,,,Tennet_Q4
"Amercentrale (A8)","ESSENT ENERGY TRADING B.V.","Amerweg .",4931NC,Geertruidenberg,NL,645,"Hard coal","Steam turbine",,,,51.70838,4.84381,49W000000000070Z,"Fossil fuels","Hard coal",,,,Tennet_Q4
"Amercentrale (A9)","ESSENT ENERGY TRADING B.V.","Amerweg .",4931NC,Geertruidenberg,NL,643,"Hard coal","Steam turbine",,,,51.70838,4.84381,49W000000000070Z,"Fossil fuels","Hard coal",,,,Tennet_Q1
Amylum,"AMYLUM NEDERLAND B.V.","Lagedijk 5",1541KA,"Koog aan de Zaan",NL,7,"Natural gas",,,,,52.46552,4.81361,,"Fossil fuels","Natural gas",,,,Tennet_Q2
"Attero Noord B.V.","DELTA ENERGY B.V.","VAMweg 7",9418TM,Wijster,NL,48,"Biomass and biogas",,,,,,,,"Renewable energy",Bioenergy,"Biomass and biogas",,,Tennet_Q1
BOZ,"ESSENT ENERGY TRADING B.V.","Moervaart 1",4622RR,"Bergen op Zoom",NL,33,"Natural gas",,,,,51.50555,4.33998,,"Fossil fuels","Natural gas",,,,Tennet_Q4
"Borssele 30","DELTA ENERGY B.V.","Zeedijk 32",4454PM,Borssele,NL,492,Nuclear,"Steam turbine",,,,51.43148,3.71871,49W000000000054X,Nuclear,,,,,Tennet_Q4
CUIJK,"ESSENT ENERGY TRADING B.V.","Lange Ooijen 31",5433NG,"Katwijk (NB)",NL,25,"Hard coal","Steam turbine",,,,51.75381,5.8528,,"Fossil fuels","Hard coal",,,,Tennet_Q2
"Centrale Bergum (CB10)","ELECTRABEL NEDERLAND NV","Koumarwei 2",9251ML,Bergum,NL,72,"Natural gas",,,,,53.20975,6.02959,,"Fossil fuels","Natural gas",,,,Tennet_Q3
"Centrale Bergum (CB20)","ELECTRABEL NEDERLAND NV","Koumarwei 2",9251ML,Bergum,NL,72,"Natural gas",,,,,53.20975,6.02959,,"Fossil fuels","Natural gas",,,,Tennet_Q1
"Centrale Diemen (DM33)",NUON,"Overdiemerweg 35",1111PP,Diemen,NL,249,"Natural gas",,,,,52.33898,5.02134,49W0000000000431,"Fossil fuels","Natural gas",,,,Tennet_Q2
"Centrale Diemen (DM34)","VATTENFALL ENERGY TRADING","Overdiemerweg 35",1111PP,Diemen,NL,435,"Natural gas",,,,,52.33898,5.02134,49W0000000000431,"Fossil fuels","Natural gas",,,,Tennet_Q1
"Centrale Galileistraat (FG1)","EON BENELUX","Galileistraat 15",3029AL,Rotterdam,NL,0,"Natural gas",,,,,51.91025,4.42608,,"Fossil fuels","Natural gas",,,,Tennet_Q2
"Centrale Gelderland (CG13)","ELECTRABEL NEDERLAND NV","Weurtseweg 460",6541BE,Nijmegen,NL,0,"Hard coal","Steam turbine",,,,51.85607,5.83043,49W000000000076N,"Fossil fuels","Hard coal",,,,Tennet_Q4
"Centrale Harculo (HC60)","ELECTRABEL NEDERLAND NV","IJsselcentraleweg 6",8015PA,Zwolle,NL,0,"Natural gas",,,,,52.46907,6.10767,,"Fossil fuels","Natural gas",,,,Tennet_Q2
"Centrale Hemweg (HW-7)",NUON,"Petroliumhavenweg 1",1041AB,Amsterdam,NL,585,"Natural gas",,,,,52.40537,4.84482,49W000000000045Y,"Fossil fuels","Natural gas",,,,Tennet_Q3
"Centrale Hemweg (HW-8)",NUON,"Petroliumhavenweg 1",1041AB,Amsterdam,NL,650,"Hard coal","Steam turbine",,,,52.40537,4.84482,49W000000000045Y,"Fossil fuels","Hard coal",,,,Tennet_Q3
"Centrale Hemweg (HW-9)",NUONENW,"Nieuwe Hemweg 25",1041AA,Amsterdam,NL,432,"Natural gas",,,,,52.40537,4.84482,49W000000000045Y,"Fossil fuels","Natural gas",,,,Tennet_Q3
"Centrale IJmond",NUON,"Hoflaan 1",1951HJ,Velsen,NL,144,"Other or unspecified energy sources",,,,,52.47155,4.63473,,"Other or unspecified energy sources",,,,,Tennet_Q3
"Centrale Lage Weide",NUON,"Atoomweg 7-9",3542AA,Utrecht,NL,247,"Natural gas",,,,,52.10292,5.07137,49W000000000047U,"Fossil fuels","Natural gas",,,,Tennet_Q3
"Centrale Maasvlakte (MV1)","EON BENELUX","Coloradoweg 10",3199LA,"Rotterdam Maasvlakte",NL,0,"Hard coal","Steam turbine",,,,51.96262,4.02152,49W000000000101D,"Fossil fuels","Hard coal",,,,Tennet_Q4
"Centrale Maasvlakte (MV2)","EON BENELUX","Coloradoweg 10",3199LA,"Rotterdam Maasvlakte",NL,0,"Hard coal","Steam turbine",,,,51.96262,4.02152,49W000000000100F,"Fossil fuels","Hard coal",,,,Tennet_Q2
"Centrale Maasvlakte (MV3)","EON BENELUX","Europaweg 911",3199LD,"Maasvlakte Rotterdam",NL,1068,"Hard coal","Steam turbine",,,,51.96262,4.02152,49W000000000102B,"Fossil fuels","Hard coal",,,,Tennet_Q3
"Centrale Merwedekanaal",NUON,"Keulsekade 181",3534AC,Utrecht,NL,227,"Natural gas",,,,,52.10156,5.07981,49W000000000091R,"Fossil fuels","Natural gas",,,,Tennet_Q3
"Centrale RoCa (RoCa3)","EON BENELUX","Capelseweg 400",3068AX,Rotterdam,NL,218,"Natural gas",,,,,51.95366,4.56155,49W0000000001047,"Fossil fuels","Natural gas",,,,Tennet_Q4
"Centrale Swentibold","ESSENT ENERGY TRADING B.V.","Kampstraat 101",6163HE,Geleen,NL,225,"Natural gas",,,,,50.97971,5.80891,49W000000000061-,"Fossil fuels","Natural gas",,,,Tennet_Q2
"Centrale Velsen (VN24)",NUON,"Hoflaan 1",1951HJ,Velsen,NL,459,"Natural gas",,,,,52.47155,4.63473,49W000000000046W,"Fossil fuels","Natural gas",,,,Tennet_Q1
"Centrale Velsen (VN25)",NUON,"Hoflaan 1",1951HJ,Velsen,NL,375,"Natural gas",,,,,52.47155,4.63473,49W000000000046W,"Fossil fuels","Natural gas",,,,Tennet_Q3
"Clauscentrale (A)","ESSENT ENERGY TRADING B.V.","Voortstraat 19",6051JP,Maasbracht,NL,640,"Natural gas",,,,,51.15409,5.90803,49W000000000069K,"Fossil fuels","Natural gas",,,,Tennet_Q3
"Clauscentrale (C1)","ESSENT ENERGY TRADING B.V.","Voortstraat 19",6051JP,Maasbracht,NL,310,"Natural gas",,,,,51.15409,5.90803,49W000000000069K,"Fossil fuels","Natural gas",,,,Tennet_Q1
"Clauscentrale (C2)","ESSENT ENERGY TRADING B.V.","Voortstraat 19",6051JP,Maasbracht,NL,310,"Natural gas",,,,,51.15409,5.90803,49W000000000069K,"Fossil fuels","Natural gas",,,,Tennet_Q1
"Clauscentrale (C3)","ESSENT ENERGY TRADING B.V.","Voortstraat 19",6051JP,Maasbracht,NL,310,"Natural gas",,,,,51.15409,5.90803,49W000000000069K,"Fossil fuels","Natural gas",,,,Tennet_Q1
"Clauscentrale (C4)","ESSENT ENERGY TRADING B.V.","Voortstraat 19",6051JP,Maasbracht,NL,510,"Other or unspecified energy sources",,,,,51.15409,5.90803,49W000000000069K,"Other or unspecified energy sources",,,,,Tennet_Q2
"Delesto (Del1)","ESSENT ENERGY TRADING B.V.","Oosterhorn 4",9936HD,Farmsum,NL,180,"Natural gas",,,,,53.31953,6.94811,,"Fossil fuels","Natural gas",,,,Tennet_Q2
"Delesto (Del2)","ESSENT ENERGY TRADING B.V.","Oosterhorn 4",9936HD,Farmsum,NL,350,"Natural gas",,,,,53.31953,6.94811,,"Fossil fuels","Natural gas",,,,Tennet_Q4
Dongecentrale,"ESSENT ENERGY TRADING B.V.","Centraleweg 12",4931NB,Geertruidenberg,NL,0,"Natural gas",,,,,51.695,4.84652,,"Fossil fuels","Natural gas",,,,Tennet_Q2
EDH,"EON BENELUX","De Constant Rebecqueplein 20",2518RA,"Den Haag",NL,112,"Natural gas",,,,,52.07659,4.29065,49W0000000000342,"Fossil fuels","Natural gas",,,,Tennet_Q1
EHV,"ESSENT ENERGY TRADING B.V.","Beukenlaan 2A",5651CD,Eindhoven,NL,0,"Natural gas",,,,,51.44944,5.45296,,"Fossil fuels","Natural gas",,,,Tennet_Q2
ELSTA,"DELTA ENERGY B.V.","Herbert H. Dowweg 5D",4542NM,Hoek,NL,456,"Natural gas",,,,,51.33319,3.78947,49W000000000048S,"Fossil fuels","Natural gas",,,,Tennet_Q4
ENSCH,"ESSENT ENERGY TRADING B.V.","Marssteden 35",7547TE,Enschede,NL,0,"Natural gas",,,,,52.21397,6.82872,,"Fossil fuels","Natural gas",,,,Tennet_Q2
ERICA,"ESSENT ENERGY TRADING B.V.","Beekweg 12",7887TN,Erica,NL,63,"Natural gas",,,,,52.69632,6.91411,,"Fossil fuels","Natural gas",,,,Tennet_Q3
"Eemscentrale (EC20)","ELECTRABEL NEDERLAND NV","Robbenplaatweg 17",9979XL,Eemshaven,NL,131,"Natural gas",,,,,53.43949,6.86165,49W000000000096H,"Fossil fuels","Natural gas",,,,Tennet_Q2
"Eemscentrale (EC3)","ELECTRABEL NEDERLAND NV","Robbenplaatweg 17",9979XL,Eemshaven,NL,359,"Natural gas",,,,,53.43949,6.86165,49W000000000088G,"Fossil fuels","Natural gas",,,,Tennet_Q3
"Eemscentrale (EC4)","ELECTRABEL NEDERLAND NV","Robbenplaatweg 17",9979XL,Eemshaven,NL,359,"Natural gas",,,,,53.43949,6.86165,49W000000000086K,"Fossil fuels","Natural gas",,,,Tennet_Q3
"Eemscentrale (EC5)","ELECTRABEL NEDERLAND NV","Robbenplaatweg 17",9979XL,Eemshaven,NL,361,"Natural gas",,,,,53.43949,6.86165,49W000000000084O,"Fossil fuels","Natural gas",,,,Tennet_Q1
"Eemscentrale (EC6)","ELECTRABEL NEDERLAND NV","Robbenplaatweg 17",9979XL,Eemshaven,NL,359,"Natural gas",,,,,53.43949,6.86165,49W000000000082S,"Fossil fuels","Natural gas",,,,Tennet_Q3
"Eemscentrale (EC7)","ELECTRABEL NEDERLAND NV","Robbenplaatweg 17",9979XL,Eemshaven,NL,360,"Natural gas",,,,,53.43949,6.86165,49W000000000080W,"Fossil fuels","Natural gas",,,,Tennet_Q2
HM12,"ESSENT ENERGY TRADING B.V.","Achterdijk 42",5705CB,Helmond,NL,0,"Natural gas",,,,,51.46341,5.68837,,"Fossil fuels","Natural gas",,,,Tennet_Q2
HTB,"ESSENT ENERGY TRADING B.V.","Zandzuigerstraat 8A",5222AH,"'s Hertogenbosch",NL,32,"Natural gas",,,,,51.70164,5.28009,,"Fossil fuels","Natural gas",,,,Tennet_Q4
KLAZI,"ESSENT ENERGY TRADING B.V.","Zwet 20",7891XJ,Klazienaveen,NL,63,"Natural gas",,,,,52.73792,7.01368,,"Fossil fuels","Natural gas",,,,Tennet_Q4
LD12,"EON BENELUX","Langegracht 70",2312NV,Leiden,NL,83,"Natural gas",,,,,52.16385,4.49419,,"Fossil fuels","Natural gas",,,,Tennet_Q4
LWE5,NUON,"Atoomweg 7-9",3542AA,Utrecht,NL,0,"Natural gas",,,,,52.10292,5.07137,,"Fossil fuels","Natural gas",,,,Tennet_Q4
MK11,NUON,"Keulsekade 181",3534AC,Utrecht,NL,103,"Natural gas",,,,,52.10157,5.07982,49W000000000091R,"Fossil fuels","Natural gas",,,,Tennet_Q4
"MVL380 Centrale Rotterdam 1","GDF SUEZ ENERGIE NEDERLAND NV","Missouriweg 69",3199LB,"Maasvlakte Rotterdam",NL,731,"Hard coal","Steam turbine",,,,51.94496,4.06767,49W000000000078J,"Fossil fuels","Hard coal",,,,Tennet_Q2
"Magnum Centrale (10)",VATTENFALL,"Huibertgatweg 1",9979XZ,Eemshaven,NL,437,"Natural gas",,,,,53.45149,6.85268,49W000000000044-,"Fossil fuels","Natural gas",,,,Tennet_Q4
"Magnum Centrale (20)",VATTENFALL,"Huibertgatweg 1",9979XZ,Eemshaven,NL,437,"Natural gas",,,,,53.45149,6.85268,49W000000000044-,"Fossil fuels","Natural gas",,,,Tennet_Q4
"Magnum Centrale (30)",VATTENFALL,"Huibertgatweg 1",9979XZ,Eemshaven,NL,437,"Natural gas",,,,,53.45149,6.85268,49W000000000044-,"Fossil fuels","Natural gas",,,,Tennet_Q4
"Maxima Centrale (FL30)","ELECTRABEL NEDERLAND NV","IJsselmeerdijk 101",2881RC,Lelystad,NL,0,"Natural gas",,,,,52.57753,5.52959,,"Fossil fuels","Natural gas",,,,Tennet_Q1
"Maxima Centrale (FL4)","ELECTRABEL NEDERLAND NV","IJsselmeerdijk 101",8221RC,Lelystad,NL,435,"Natural gas",,,,,52.57753,5.52959,49W000000000072V,"Fossil fuels","Natural gas",,,,Tennet_Q2
"Maxima Centrale (FL5)","ELECTRABEL NEDERLAND NV","IJsselmeerdijk 101",8221RC,Lelystad,NL,437,"Natural gas",,,,,52.57753,5.52959,49W000000000074R,"Fossil fuels","Natural gas",,,,Tennet_Q2
"Moerdijk 1","RWE SUPPLY & TRADING NL B.V.","Middenweg 36",4782PM,Moerdijk,NL,348,"Natural gas",,,,,51.68506,4.58094,49W000000000063W,"Fossil fuels","Natural gas",,,,Tennet_Q2
"Moerdijk 2","RWE SUPPLY & TRADING NL B.V.","Middenweg 36",4782PM,Moerdijk,NL,426,"Natural gas",,,,,51.68506,4.58094,49W000000000063W,"Fossil fuels","Natural gas",,,,Tennet_Q4
PU-1,NUON,"Hertzstraat 2",1446TG,Purmerend,NL,67,"Natural gas",,,,,52.51608,4.99524,,"Fossil fuels","Natural gas",,,,Tennet_Q3
ROC1,"EON BENELUX","Capelseweg 400",3068AX,Rotterdam,NL,24,"Natural gas",,,,,51.95369,4.5616,,"Fossil fuels","Natural gas",,,,Tennet_Q4
ROC2,"EON BENELUX","Capelseweg 400",3068AX,Rotterdam,NL,24,"Natural gas",,,,,51.95369,4.5616,,"Fossil fuels","Natural gas",,,,Tennet_Q4
"Rijnmond II",PVNED,"Petroleumweg 44",3196KD,Rotterdam,NL,428,"Natural gas",,,,,51.89326,4.34721,49W000000000108-,"Fossil fuels","Natural gas",,,,Tennet_Q3
Rijnmond1,"UNIPER BENELUX N.V.","Petroleumweg/ Haven 3108 46",3196KD,Vondelingenplaat-R'dam,NL,800,"Natural gas",,,,,,,,"Fossil fuels","Natural gas",,,,Tennet_Q4
SAL,"ESSENT ENERGY TRADING B.V.","Boortorenweg 27",7550BD,"Hengelo (O)",NL,60,"Natural gas",,,,,52.24587,6.79479,,"Fossil fuels","Natural gas",,,,Tennet_Q2
"Sloecentrale (unit 10)",EPZ,"Albanieweg 10",4389PR,Ritthem,NL,432,"Natural gas",,,,,51.44796,3.69252,49W0000000000512,"Fossil fuels","Natural gas",,,,Tennet_Q3
"Sloecentrale (unit 20)",EPZ,"Albanieweg 10",4389PR,Ritthem,NL,432,"Natural gas",,,,,51.44796,3.69252,49W0000000000512,"Fossil fuels","Natural gas",,,,Tennet_Q3
UCML,"EON BENELUX","Coloradoweg 10",3199LA,"Rotterdam Maasvlakte",NL,79,"Natural gas",,,,,51.95861,4.02609,,"Fossil fuels","Natural gas",,,,Tennet_Q3
"Willem Alexander Centrale",NUON,"Roermondseweg 55",6081NT,Haelen,NL,249,"Hard coal","Steam turbine",,,,51.22402,5.97085,,"Fossil fuels","Hard coal",,,,Tennet_Q2
corus,"CORUS STAAL B.V.","Wenkebachstraat 1",1951JZ,Velsen-Noord,NL,38,"Other or unspecified energy sources",,,,,52.47708,4.58981,,"Other or unspecified energy sources",,,,,Tennet_Q3
gresnigt,SEASUN,"Kreekweg nan",4421RV,Kapelle,NL,24,"Natural gas",,,,,,,,"Fossil fuels","Natural gas",,,,Tennet_Q1
"CYCOFOS TV2",,,,,FR,62,"Other or unspecified energy sources",,,2009,,43.42801,4.88652,17W100P100P0352E,"Other or unspecified energy sources",,,,,RTE
"PROVENCE 4 BIOMASSE",,,,,FR,150,"Biomass and biogas",,,,,,,17W100P100P03647,"Renewable energy",Bioenergy,"Biomass and biogas",,"Commissioning year not reported due to duplicate entries",RTE
"CORDEMAIS 4",,,,,FR,580,"Hard coal","Steam turbine",,,,47.27712,-1.88012,17W100P100P0236G,"Fossil fuels","Hard coal",,,,RTE
"CORDEMAIS 5",,,,,FR,580,"Hard coal","Steam turbine",,,,47.27712,-1.88012,17W100P100P0237E,"Fossil fuels","Hard coal",,,,RTE
"EMILE HUCHET 6",,,,,FR,595,"Hard coal","Steam turbine",,1981,,49.15412,6.7047,17W100P100P0343F,"Fossil fuels","Hard coal",,,,RTE
"HAVRE 4",,,,,FR,580,"Hard coal","Steam turbine",,,,49.47553,0.14711,17W100P100P0238C,"Fossil fuels","Hard coal",,,,RTE
"PROVENCE 5",,,,,FR,595,"Hard coal","Steam turbine",,1984,,46.46883,5.48957,17W100P100P03469,"Fossil fuels","Hard coal",,,,RTE
"ARRIGHI 1",,,,,FR,125,Oil,,,,,48.79151,2.41593,17W100P100P0255C,"Fossil fuels",Oil,,,,RTE
"ARRIGHI 2",,,,,FR,129,Oil,,,,,48.79151,2.41593,17W100P100P0256A,"Fossil fuels",Oil,,,,RTE
"BRENNILIS 1",,,,,FR,85,Oil,,,,,48.35702,-3.87053,17W100P100P02586,"Fossil fuels",Oil,,,,RTE
"BRENNILIS 2",,,,,FR,85,Oil,,,,,48.35702,-3.87053,17W100P100P0260J,"Fossil fuels",Oil,,,,RTE
"BRENNILIS 3",,,,,FR,134,Oil,,,,,48.35702,-3.87053,17W100P100P0261H,"Fossil fuels",Oil,,,,RTE
"CORDEMAIS 3",,,,,FR,0,Oil,,,,,47.27712,-1.88012,17W100P100P0250M,"Fossil fuels",Oil,,,"Commissioning year not reported due to duplicate entries",RTE
"DIRINON 1",,,,,FR,85,Oil,,,,,48.39036,-4.26373,17W100P100P0263D,"Fossil fuels",Oil,,,,RTE
"DIRINON 2",,,,,FR,85,Oil,,,,,48.39036,-4.26373,17W100P100P02659,"Fossil fuels",Oil,,,,RTE
"MONTEREAU 5",,,,,FR,185,Oil,,,,,48.38045,2.85108,17W100P100P0270G,"Fossil fuels",Oil,,,,RTE
"MONTEREAU 6",,,,,FR,185,Oil,,,,,48.38045,2.85108,17W100P100P0271E,"Fossil fuels",Oil,,,,RTE
"VAIRES 1",,,,,FR,181,Oil,,,,,48.87349,2.65533,17W100P100P02675,"Fossil fuels",Oil,,,,RTE
"VAIRES 2",,,,,FR,179,Oil,,,,,48.87349,2.65533,17W100P100P02683,"Fossil fuels",Oil,,,,RTE
"VAIRES 3",,,,,FR,182,Oil,,,,,48.87349,2.65533,17W100P100P02691,"Fossil fuels",Oil,,,,RTE
AMFARD14,,,,,FR,130,"Natural gas",,,2004,,,,17W100P100P0353C,"Fossil fuels","Natural gas",,,,RTE
AMFARD15,,,,,FR,130,"Natural gas",,,2004,,,,17W100P100P03493,"Fossil fuels","Natural gas",,,,RTE
"BLENOD 5",,,,,FR,427,"Natural gas",,,,,48.86959,6.08377,17W100P100P0243J,"Fossil fuels","Natural gas",,,,RTE
"BOUCHAIN 7",,,,,FR,585,"Natural gas",,,2017,,50.29774,3.31429,17W100P100P0244H,"Fossil fuels","Natural gas",,,,RTE
COMBIGOLFE,,,,,FR,425,"Natural gas",,,2010,,43.41616,4.86974,17W100P100P0337A,"Fossil fuels","Natural gas",,,,RTE
CYCOFOS,,,,,FR,428,"Natural gas",,,2009,,43.42801,4.88652,17W100P100P0351G,"Fossil fuels","Natural gas",,,,RTE
Croix-de-Metz,,,,,FR,413,"Natural gas",,,2012,,48.69336,5.91468,17W100P100P0340L,"Fossil fuels","Natural gas",,,,RTE
DK6,,,,,FR,796,"Natural gas",,,2005,,51.04628,2.31835,17W100P100P0350I,"Fossil fuels","Natural gas",,,,RTE
"EMILE HUCHET 7",,,,,FR,413,"Natural gas",,,2010,,49.15412,6.7047,17W100P100P0344D,"Fossil fuels","Natural gas",,,,RTE
"EMILE HUCHET 8",,,,,FR,413,"Natural gas",,,2010,,49.15412,6.7047,17W100P100P0345B,"Fossil fuels","Natural gas",,,,RTE
FR-GA-MORANT1,,,,,FR,401,"Natural gas",,,2016,,46.27282,3.30095,17W100P100P0318E,"Fossil fuels","Natural gas",,,,RTE
"GENNEVILLIERS 1",,,,,FR,203,"Natural gas",,,,,48.93699,2.26144,17W100P100P02667,"Fossil fuels","Natural gas",,,,RTE
"MARTIGUES PONTEAU 5",,,,,FR,465,"Natural gas",,,,,43.35822,5.02112,17W100P100P0245F,"Fossil fuels","Natural gas",,,,RTE
"MARTIGUES PONTEAU 6",,,,,FR,465,"Natural gas",,,,,43.35822,5.02112,17W100P100P0246D,"Fossil fuels","Natural gas",,,,RTE
Pont-sur-Sambre,,,,,FR,412,"Natural gas",,,2009,,50.22915,3.86807,17W100P100P0341J,"Fossil fuels","Natural gas",,,,RTE
SPEM,,,,,FR,435,"Natural gas",,,2010,,47.30265,-2.14028,17W100P100P0334G,"Fossil fuels","Natural gas",,,,RTE
CHEYLAS,,,,,FR,485,Hydro,"Pumped storage",,,,45.3846,6.00207,17W100P100P0273A,"Renewable energy",Hydro,,,,RTE
COCHE,,,,,FR,320,Hydro,"Pumped storage",,,,45.49667,6.51038,17W100P100P02748,"Renewable energy",Hydro,,,"Commissioning year not reported due to duplicate entries",RTE
"GRAND MAISON",,,,,FR,1700,Hydro,"Pumped storage",,2017,,45.20597,6.11719,17W100P100P02756,"Renewable energy",Hydro,,,,RTE
MONTEZIC,,,,,FR,910,Hydro,"Pumped storage",,,,44.73766,2.64342,17W100P100P02772,"Renewable energy",Hydro,,,,RTE
REVIN,,,,,FR,808,Hydro,"Pumped storage",,,,49.92556,4.61331,17W100P100P02780,"Renewable energy",Hydro,,,,RTE
"SUPER BISSORTE",,,,,FR,742.3,Hydro,"Pumped storage",,,,45.1803,6.5797,17W100P100P02764,"Renewable energy",Hydro,,,,RTE
ASTON,,,,,FR,104,Hydro,Run-of-river,,,,42.77668,1.67671,17W100P100P0315K,"Renewable energy",Hydro,,,,RTE
AVIGNON,,,,,FR,126,Hydro,Run-of-river,,1973,,43.97606,4.81721,17W100P100P0326F,"Renewable energy",Hydro,,,,RTE
"BAIX LOGIS NEUF 1",,,,,FR,140,Hydro,Run-of-river,,1960,,44.67605,4.78827,17W100P100P0322N,"Renewable energy",Hydro,,,,RTE
BEAUCHASTEL,,,,,FR,198,Hydro,Run-of-river,,1963,,44.82397,4.81049,17W100P100P0321P,"Renewable energy",Hydro,,,,RTE
"BOURG les VALENCE",,,,,FR,180,Hydro,Run-of-river,,1968,,44.96128,4.87221,17W100P100P0320R,"Renewable energy",Hydro,,,,RTE
CADEROUSSE,,,,,FR,156,Hydro,Run-of-river,,1975,,44.09606,4.72329,17W100P100P0325H,"Renewable energy",Hydro,,,,RTE
CHASTANG,,,,,FR,293,Hydro,Run-of-river,,,,45.15185,2.00985,17W100P100P0302T,"Renewable energy",Hydro,,,,RTE
COUESQUE,,,,,FR,119,Hydro,Run-of-river,,,,44.69609,2.58555,17W100P100P0313O,"Renewable energy",Hydro,,,,RTE
"DONZERE MONDRAGON",,,,,FR,348,Hydro,Run-of-river,,1952,,44.30368,4.74217,17W100P100P0324J,"Renewable energy",Hydro,,,,RTE
FESSENHEIM,,,,,FR,175,Hydro,Run-of-river,,,,47.91466,7.57067,17W100P100P0303R,"Renewable energy",Hydro,,,,RTE
FR_LA-MAREGES-P,,,,,FR,150,Hydro,Run-of-river,,2018,,,,,"Renewable energy",Hydro,,,,RTE
FR_LA-STPIERRE-P,,,,,FR,122,Hydro,Run-of-river,,2018,,,,,"Renewable energy",Hydro,,,,RTE
GENISSIAT,,,,,FR,420,Hydro,Run-of-river,,1948,,46.05271,5.81285,17W100P100P0319C,"Renewable energy",Hydro,,,,RTE
GERSTHEIM,,,,,FR,140.5,Hydro,Run-of-river,,,,48.40385,7.72775,17W100P100P0310U,"Renewable energy",Hydro,,,,RTE
HERMILLON,,,,,FR,115.6,Hydro,Run-of-river,,,,45.28424,6.35799,17W100P100P0314M,"Renewable energy",Hydro,,,,RTE
KEMBS,,,,,FR,162.1,Hydro,Run-of-river,,2016,,47.65534,7.51959,17W100P100P0307J,"Renewable energy",Hydro,,,,RTE
MARCKOLSHEIM,,,,,FR,156.2,Hydro,Run-of-river,,,,48.15371,7.5898,17W100P100P0305N,"Renewable energy",Hydro,,,,RTE
MAREGES,,,,,FR,150,Hydro,Run-of-river,,1935,,45.39171,2.36446,17W100P100P0328B,"Renewable energy",Hydro,,,,RTE
MONTELIMAR,,,,,FR,295,Hydro,Run-of-river,,1957,,44.59281,4.72593,17W100P100P0323L,"Renewable energy",Hydro,,,,RTE
OTTMARSHEIM,,,,,FR,156,Hydro,Run-of-river,,,,47.77399,7.52246,17W100P100P0306L,"Renewable energy",Hydro,,,,RTE
PASSY,,,,,FR,104,Hydro,Run-of-river,,,,45.91642,6.72592,17W100P100P0316I,"Renewable energy",Hydro,,,,RTE
RANDENS,,,,,FR,124.2,Hydro,Run-of-river,,,,45.52711,6.31996,17W100P100P0312Q,"Renewable energy",Hydro,,,,RTE
RHINAU,,,,,FR,152,Hydro,Run-of-river,,2016,,48.28412,7.67728,17W100P100P0304P,"Renewable energy",Hydro,,,,RTE
"SAINT PIERRE COGNET",,,,,FR,101,Hydro,Run-of-river,,,,44.87249,5.77319,17W100P100P0317G,"Renewable energy",Hydro,,,,RTE
SAINT-PIERRE,,,,,FR,122,Hydro,Run-of-river,,1983,,,,17W100P100P03299,"Renewable energy",Hydro,,,,RTE
SAUSSAZ,,,,,FR,145.4,Hydro,Run-of-river,,,,45.20992,6.47663,17W100P100P0309F,"Renewable energy",Hydro,,,,RTE
STRASBOURG,,,,,FR,147.8,Hydro,Run-of-river,,2016,,48.52561,7.79456,17W100P100P0308H,"Renewable energy",Hydro,,,,RTE
VALLABREGUES,,,,,FR,210,Hydro,Run-of-river,,1970,,43.82415,4.64349,17W100P100P0327D,"Renewable energy",Hydro,,,,RTE
VOGELGRUN,,,,,FR,140.5,Hydro,Run-of-river,,,,48.0203,7.57393,17W100P100P0311S,"Renewable energy",Hydro,,,,RTE
AIGLE,,,,,FR,360,Hydro,Reservoir,,,,45.24373,2.22483,17W100P100P0279Z,"Renewable energy",Hydro,,,,RTE
BATHIE,,,,,FR,592,Hydro,Reservoir,,,,45.68545,6.62249,17W100P100P0280D,"Renewable energy",Hydro,,,"Commissioning year not reported due to duplicate entries",RTE
BORT,,,,,FR,235,Hydro,Reservoir,,,,45.41269,2.49862,17W100P100P0281B,"Renewable energy",Hydro,,,,RTE
BROMMAT,,,,,FR,406,Hydro,Reservoir,,,,44.76793,2.68415,17W100P100P02829,"Renewable energy",Hydro,,,,RTE
"COMBE D'AVRIEUX",,,,,FR,123,Hydro,Reservoir,,,,45.21348,6.72053,17W100P100P02837,"Renewable energy",Hydro,,,,RTE
CURBANS,,,,,FR,139,Hydro,Reservoir,,,,44.42078,6.02016,17W100P100P02845,"Renewable energy",Hydro,,,,RTE
MALGOVERT,,,,,FR,297,Hydro,Reservoir,,,,45.61787,6.79074,17W100P100P02853,"Renewable energy",Hydro,,,,RTE
MONTEYNARD,,,,,FR,366,Hydro,Reservoir,,,,44.96118,5.68874,17W100P100P02861,"Renewable energy",Hydro,,,,RTE
MONTPEZAT,,,,,FR,131.8,Hydro,Reservoir,,,,44.69026,4.27215,17W100B100P0287S,"Renewable energy",Hydro,,,,RTE
ORAISON,,,,,FR,187,Hydro,Reservoir,,,,43.92101,5.92438,17W100P100P0288Y,"Renewable energy",Hydro,,,,RTE
